eventID,occurrenceID,associatedMedia,basisOfRecord,identificationVerificationStatus,identifiedBy,verbatimIdentification,scientificName,scientificNameID,kingdom,occurrenceStatus,institutionCode
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00085_Cylindrotheca,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00085.png,MachineObservation,ValidatedByHuman,jaymesmi,Cylindrotheca,Cylindrotheca,urn:lsid:marinespecies.org:taxname:149003,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00086_ciliate,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00086.png,MachineObservation,ValidatedByHuman,hsosik,ciliate,Spirotrichea,urn:lsid:marinespecies.org:taxname:1348,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00098_Bacillariophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00098.png,MachineObservation,ValidatedByHuman,hsosik,Bacillariophyceae,Bacillariophyceae,urn:lsid:marinespecies.org:taxname:148899,NaN,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00102_Mesodinium,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00102.png,MachineObservation,ValidatedByHuman,kkenitz,Mesodinium,Mesodinium,urn:lsid:marinespecies.org:taxname:179320,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00109_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00109.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00117_Chaetoceros,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00117.png,MachineObservation,ValidatedByHuman,kkenitz,Chaetoceros,Chaetoceros,urn:lsid:marinespecies.org:taxname:148985,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00129_ciliate,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00129.png,MachineObservation,ValidatedByHuman,hsosik,ciliate,Spirotrichea,urn:lsid:marinespecies.org:taxname:1348,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00130_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00130.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,NaN,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00133_Rhizosolenia,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00133.png,MachineObservation,ValidatedByHuman,rshipe,Rhizosolenia,Rhizosolenia,urn:lsid:marinespecies.org:taxname:149069,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00152_Bacillariophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00152.png,MachineObservation,ValidatedByHuman,hsosik,Bacillariophyceae,Bacillariophyceae,urn:lsid:marinespecies.org:taxname:148899,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00166_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00166.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00191_Chaetoceros,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00191.png,MachineObservation,ValidatedByHuman,kkenitz,Chaetoceros,Chaetoceros,urn:lsid:marinespecies.org:taxname:148985,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00194_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00194.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,NaN,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00196_Ceratium fusus,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00196.png,MachineObservation,ValidatedByHuman,kkenitz,Ceratium fusus,Tripos fusus,urn:lsid:marinespecies.org:taxname:840626,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00198_Bacillariophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00198.png,MachineObservation,ValidatedByHuman,hsosik,Bacillariophyceae,Bacillariophyceae,urn:lsid:marinespecies.org:taxname:148899,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00200_Mesodinium,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00200.png,MachineObservation,ValidatedByHuman,kkenitz,Mesodinium,Mesodinium,urn:lsid:marinespecies.org:taxname:179320,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00204_Chaetoceros,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00204.png,MachineObservation,ValidatedByHuman,kkenitz,Chaetoceros,Chaetoceros,urn:lsid:marinespecies.org:taxname:148985,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00206_ciliate,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00206.png,MachineObservation,ValidatedByHuman,hsosik,ciliate,Spirotrichea,urn:lsid:marinespecies.org:taxname:1348,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00209_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00209.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00218_Ceratium fusus,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00218.png,MachineObservation,ValidatedByHuman,kkenitz,Ceratium fusus,Tripos fusus,urn:lsid:marinespecies.org:taxname:840626,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00224_Ceratium furca,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00224.png,MachineObservation,ValidatedByHuman,kkenitz,Ceratium furca,Tripos furca,urn:lsid:marinespecies.org:taxname:840627,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00226_ciliate,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00226.png,MachineObservation,ValidatedByHuman,hsosik,ciliate,Spirotrichea,urn:lsid:marinespecies.org:taxname:1348,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00227_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00227.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00236_ciliate,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00236.png,MachineObservation,ValidatedByHuman,hsosik,ciliate,Spirotrichea,urn:lsid:marinespecies.org:taxname:1348,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00243_Ceratium fusus,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00243.png,MachineObservation,ValidatedByHuman,kkenitz,Ceratium fusus,Tripos fusus,urn:lsid:marinespecies.org:taxname:840626,NaN,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00257_ciliate,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00257.png,MachineObservation,ValidatedByHuman,hsosik,ciliate,Spirotrichea,urn:lsid:marinespecies.org:taxname:1348,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00259_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00259.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00282_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00282.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,NaN,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00292_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00292.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,Chromista,present,Axiom ROR
